location,points,years,Sentiment_Polarity,lat,lon
"Alexander Valley, California, US",88.94009216589862,44.142857142857146,0.11917327238813413,38.6712308,-122.8278697
"Alta Mesa, California, US",88.57142857142857,22.142857142857142,0.3254128014842301,37.8384635,-122.1219184
"Amador County, California, US",89.08450704225352,31.63849765258216,0.19818960884038472,38.449089,-120.5911018
"Applegate Valley, Oregon, US",88.28971962616822,33.10280373831776,0.11678283838497458,42.2570634,-123.1682392
"Arroyo Grande Valley, California, US",91.40298507462687,45.8955223880597,0.1040183504651788,35.1583532,-120.5308411
"Arroyo Seco, California, US",89.55,48.03,0.14507889020431233,36.0991049,-120.1680855
"Atlas Peak, California, US",90.1304347826087,87.47826086956522,0.02850459265831937,38.4507431,-122.2627529
"Ballard Canyon, California, US",91.765625,46.8125,0.14709308179523026,33.7293637,-117.7793546
"Ben Lomond Mountain, California, US",92.3076923076923,53.61538461538461,0.13568463943463946,37.1309414,-122.1682351
"Bennett Valley, California, US",90.62962962962963,40.48148148148148,0.11382569077013521,38.4254354,-122.6649553
"Calaveras County, California, US",88.73170731707317,28.463414634146343,0.1551101493196441,38.2558181,-120.4981492
"California, California, US",87.48801369863014,20.684931506849313,0.20705939646690008,41.9221873,-87.697195
"Calistoga, California, US",89.33802816901408,62.49295774647887,0.1064844665636919,38.5787966,-122.5797054
"Capay Valley, California, US",90.0,35.0,0.11020408163265305,38.7076812,-122.0480266
"Carmel Valley, California, US",89.46666666666667,35.75555555555555,0.11818754182992999,36.48290245,-121.71417288463448
"Carneros, California, US",89.86176470588235,46.991176470588236,0.1652288247525117,35.414448,-119.8882132
"Cayuga Lake, New York, US",85.0,12.0,0.20779461279461278,42.697675950000004,-76.7126902611025
"Central Coast, California, US",89.24657534246575,34.842465753424655,0.11749094314729511,37.858337,-122.2447394
"Chalk Hill, California, US",89.32142857142857,59.57142857142857,0.04783408060193773,35.4008065,-120.5940563
"Chalone, California, US",91.1470588235294,39.5,0.10386822940131767,36.5129243,-121.2880708
"Chehalem Mountains, Oregon, US",90.16333333333333,49.07333333333333,0.17451866204295674,45.3676909,-123.00640669254446
"Chelan County, Washington, US",86.0,21.25,0.17763888888888887,47.8012197,-120.6276904
"Cienega Valley, California, US",87.75,20.75,0.1385763888888889,36.7186762,-121.3543641
"Clarksburg, California, US",87.125,18.520833333333332,0.21797595954714014,38.4204651,-121.5271772
"Columbia Gorge (OR), Oregon, US",89.65625,29.0,0.20902867728267654,45.657502,-121.07445123889116
"Columbia Gorge (WA), Washington, US",89.15277777777777,30.73611111111111,0.21220127448426063,45.6177902,-121.16635464822362
"Columbia Valley (OR), Oregon, US",87.51923076923077,34.96153846153846,0.17274265847222578,44.7431593,-118.2008389
"Columbia Valley (WA), Washington, US",88.88745980707395,30.535369774919616,0.16533596950553972,46.2947665,-117.9174697
"Contra Costa County, California, US",88.68181818181819,28.227272727272727,0.1716665342158443,37.9034806,-121.9175345
"Coombsville, California, US",89.33333333333333,67.76666666666667,0.08692756934423601,38.295223,-122.2489536
"Dry Creek Valley, California, US",88.84333333333333,33.63666666666666,0.11457916009455511,34.474349,-119.863515
"Dundee Hills, Oregon, US",90.69325153374233,56.169734151329244,0.19470930313912094,45.264651349999994,-123.06593196780605
"Edna Valley, California, US",90.81761006289308,38.867924528301884,0.12406214354844185,35.2038641,-120.6129476
"El Dorado County, California, US",87.33333333333333,31.533333333333335,0.1315967982634649,38.7574137,-120.5276129
"El Dorado, California, US",89.10194174757281,26.815533980582526,0.19470402529494338,38.7574137,-120.5276129
"Elkton Oregon, Oregon, US",88.75,23.6875,0.17374107229575977,43.6370577,-123.5673843
"Fair Play, California, US",88.58064516129032,31.870967741935484,0.1466705069124424,38.5935173,-120.6604855
"Fiddletown, California, US",90.36363636363636,31.5,0.17408119069482708,38.5037966,-120.7554891
"Green Valley, California, US",91.73394495412845,53.76146788990825,0.14451699022827252,34.6216542,-118.4139702
"Howell Mountain, California, US",89.51162790697674,78.02325581395348,0.04677612923252458,38.5812999,-122.4510974
"Humboldt County, California, US",88.5,31.0,0.29697420634920635,40.5997415,-123.8997734
"Lake Chelan, Washington, US",87.4186046511628,27.558139534883722,0.1715608745259908,48.07858615,-120.4757138372714
"Livermore Valley, California, US",88.7516129032258,37.18387096774194,0.1741013790215021,37.6820583,-121.7680531
"Lodi, California, US",87.22004357298475,20.200435729847495,0.17699184027950574,38.1301968,-121.2724473
"Long Island, New York, US",83.85714285714286,16.714285714285715,0.22464852607709748,40.85172235,-73.09921882199973
"Madera, California, US",87.28571428571429,28.571428571428573,0.18696312615955474,36.9418115,-120.17143817857144
"Malibu Coast, California, US",90.75,39.25,0.07258387445887445,34.0389941,-118.669816
"Marin County, California, US",90.39393939393939,42.515151515151516,0.24283806387215479,38.0409144,-122.6199638
"McMinnville, Oregon, US",89.64285714285714,48.48979591836735,0.15045700370150408,45.2100367,-123.194463
"Mendocino-Lake, California, US",87.66666666666667,14.0,0.17732884399551066,39.3176491,-123.4126399
"Mokelumne River, California, US",89.75,30.6875,0.30035044642857145,38.1551187,-121.2171279
"Monterey County, California, US",89.0632911392405,25.632911392405063,0.13308227569597364,36.2231079,-121.3877428
"Monterey, California, US",89.45,32.24,0.11002371036040678,36.2231079,-121.3877428
"Monterey-Santa Cruz, California, US",92.0,50.0,0.08643939393939397,33.4847353,-117.08856464190733
"Mount Veeder, California, US",90.54054054054055,80.37837837837837,0.09937897498611785,38.3793566,-122.4477575
"Mt. Harlan, California, US",93.26086956521739,67.47826086956522,0.055283034339711365,36.6974604,-121.405214
"Naches Heights, Washington, US",86.52380952380952,31.238095238095237,0.10896730914588056,46.6409587,-120.6420137
"Napa County, California, US",89.28,31.72,0.05258333333333334,38.4898675,-122.3218414
